,Площадь поля,lat,lon,Регион,crop,Культура 2019,Дата сева,Дата уборки,WOFOST_PP,WOFOST_FLD,Ks (cm/h),Field Capacity,Площадь_поля,Урожайность_факт_ц,yield,MONICA,DSSAT,Ensemble_stacking,Ensemble_ols,Ensemble_mean,Ensemble_weighted
0,56.66,51.0152034886078,35.6033165438772,Курская область,Озимая пшеница,Соя,2019-09-09,2020-07-11,6002.002814478325,4268.464371541993,40.9106603850556,0.3758487317759848,56.66,55.7,5570.0,5377.5,21.0,5915.960290264823,5683.579152764112,3917.2417965050795,4209.293437204064
1,68.24,51.0027068712967,35.6260243906503,Курская область,Озимая пшеница,Соя,2019-09-09,2020-07-19,6002.002814478325,3553.399736249084,24.87562486619127,0.3634650901405662,68.24,53.8,5380.0,6683.8,21.0,5927.519252392888,6327.713201933772,4065.050637681852,4588.800510145482
2,23.15,50.98894420618,35.6196116225504,Курская область,Озимая пшеница,Кукуруза на силос,2019-09-09,2020-07-12,6002.002814478325,2794.504624196242,15.5760682225307,0.3464641917363507,23.15,51.3,5130.0,5606.2,21.0,5919.417762192134,5876.2500316678825,3605.9268596686416,4005.9814877349136
3,273.01,50.9606864051104,35.6654586315051,Курская область,Озимая пшеница,Люпин,2019-09-08,2020-07-19,6002.002814478325,4388.273182942237,36.80452580084069,0.3761976486251974,273.01,75.9,7590.000000000001,6676.1,19.0,5926.568161568203,6274.712770126411,4271.34399935514,4752.295199484113
4,125.42,50.9782755518189,35.7476051852808,Курская область,Озимая пшеница,Соя,2019-09-07,2020-07-20,6002.002814478325,3725.708362464124,23.818115627845,0.3615907262910538,125.42,70.7,7070.0,6869.2,20.0,5928.868764617575,6402.916041432703,4154.227794235612,4697.22223538849
5,149.11,50.935807161274,35.6523050330525,Курская область,Озимая пшеница,Люпин,2019-09-09,2020-07-21,6002.002814478325,2894.910308339856,14.23980739788755,0.3420677385849221,149.11,69.3,6930.0,7074.1,21.0,5931.445752965491,6546.521143760713,3998.0032807045454,4613.222624563636
6,67.71,51.0189323677248,35.4859103401557,Курская область,Озимая пшеница,Яровой рапс,2019-09-07,2020-07-24,6002.002814478325,2505.013695467464,10.45904342368936,0.33951180039891,67.71,64.9,6490.000000000001,7527.8,20.0,5935.610871778513,6778.6263117316685,4013.704127486447,4716.523301989158
7,20.81,51.0327719198755,35.4691352935624,Курская область,Озимая пшеница,Кукуруза на силос,2019-09-07,2020-07-24,6002.002814478325,1952.096085343264,7.406786756951673,0.3329847451439742,20.81,72.6,7259.999999999999,7525.9,20.0,5936.182936194018,6810.505139974445,3874.999724955397,4605.179779964318
8,3.71,50.9594190293798,35.4893869566502,Курская область,Озимая пшеница,Яровой рапс,2019-09-06,2020-07-25,6002.002814478325,4027.387716374472,31.24152787760774,0.369076383094286,3.71,63.6,6360.0,7594.1,17.0,5934.540712550128,6718.990681006451,4410.122632713199,5046.91810617056
9,161.36,51.1388822000507,39.6777537658631,Воронежская область,Озимая пшеница,Многолетние травы,2019-08-29,2020-07-17,5387.843314360834,5387.843314360834,20.77845119101639,0.3508283439430347,161.36,56.0,5600.0,5415.3,1.0,5909.489317748904,5322.978115874818,4047.996657180417,4321.4573257443335
10,113.81,51.1257135371993,39.7207410493293,Воронежская область,Озимая пшеница,Кукуруза на силос,2019-09-24,2020-07-19,5387.843314360834,5341.619725192736,9.69104180031336,0.3246761039102163,113.81,51.4,5140.0,5507.0,0.0,5910.296545402535,5367.961637005384,4059.115759888393,4348.692607910714
11,32.48,51.0719993466111,39.7032517758564,Воронежская область,Озимая пшеница,Кукуруза на силос,2019-09-06,2020-07-16,5387.843314360834,5387.843314360834,24.11940562127842,0.3575356131330707,32.48,47.6,4760.0,5396.2,8006.0,5909.078112092144,5300.063293436981,6044.471657180417,5914.817325744334
12,179.86,51.068930656877,39.6593165065586,Воронежская область,Озимая пшеница,Многолетние травы,2019-09-01,2020-07-15,5387.843314360834,5372.909874735241,16.43889638916393,0.3484889404556774,179.86,50.2,5020.0,5375.3,10.0,5909.17423873274,5305.4200410025705,4036.5132972740184,4304.270637819215
13,121.86,51.0611721524699,39.5433334431119,Воронежская область,Озимая пшеница,Кукуруза на силос,2019-09-07,2020-07-11,5387.843314360834,5345.377266445573,10.40883043297773,0.3313652133393554,121.86,51.4,5140.0,4970.1,18.0,5905.853576762834,5120.373025803339,3930.330145201601,4138.284116161281
14,45.0,51.0723040150726,39.5532337810769,Воронежская область,Озимая пшеница,Кукуруза на силос,2019-09-06,2020-07-15,5387.843314360834,5387.843314360834,69.81622818688405,0.3983119929744722,45.0,48.1,4810.0,5518.7,8036.0,5910.089836579167,5356.442593174262,6082.596657180417,5969.817325744334
15,50.27,51.082988068167,39.5175475289352,Воронежская область,Озимая пшеница,Кукуруза на силос,2019-09-10,2020-07-15,5387.843314360834,5387.843314360834,26.91102089241891,0.3607001919125945,50.27,56.1,5610.0,5518.5,0.0,5910.342475411538,5370.52113000737,4073.5466571804172,4362.537325744333
16,95.88,51.1057233848212,39.5869581934854,Воронежская область,Озимая пшеница,Кукуруза на силос,2019-09-12,2020-07-10,5387.843314360834,5332.998717038972,9.758494736924652,0.3236981259227414,95.88,48.5,4850.0,4765.2,0.0,5904.173453248218,5026.74656085048,3871.5105078499514,4050.2484062799613
17,64.21,52.2257931418947,36.9550661788886,Орловская область,Озимая пшеница,Пар,2019-08-27,2020-07-30,5237.183052646025,5237.183052646025,21.73498679399555,0.3437919784960038,64.21,69.18,6918.000000000001,7652.4,1.0,5926.770657835325,6285.9970652939155,4531.941526323013,5156.033221058409
18,23.5,52.316084724062,36.9960180368556,Орловская область,Озимая пшеница,Гречиха,2019-09-05,2020-08-06,4798.100031717735,4798.100031717735,78.96103688943411,0.405718914260447,23.5,56.8,5680.0,8677.8,1.0,5931.714676594914,6561.50716624425,4568.750015858867,5390.560012687094
19,42.66,52.2909594586856,37.0242309989265,Орловская область,Озимая пшеница,Гречиха,2019-09-06,2020-08-02,4798.100031717735,4798.100031717735,38.60701706992364,0.3756953743472233,42.66,64.0,6400.0,8444.3,7784.0,5929.538110096692,6440.215948550703,6456.125015858867,6853.760012687095
20,226.85,52.3121467688526,37.0475221395897,Орловская область,Озимая пшеница,Гречиха,2019-09-06,2020-08-02,4798.100031717735,4798.100031717735,23.52908963009256,0.36229598913509,226.85,57.75,5775.0,8446.6,7784.0,5929.557123564159,6441.275491929464,6456.700015858868,6854.680012687095
21,40.65,52.2818006776723,37.0492958099291,Орловская область,Озимая пшеница,Соя,2019-09-01,2020-08-02,4798.100031717735,4798.100031717735,15.34178584141463,0.3489268574483673,40.65,60.7,6070.0,8446.4,25.0,5929.800996974288,6454.865567354151,4516.900015858868,5302.800012687094
22,26.18,52.2563987356357,37.0759709924449,Орловская область,Озимая пшеница,Соя,2019-09-04,2020-08-01,4798.100031717735,4798.100031717735,9.687381531015289,0.3329053430449385,26.18,61.4,6140.0,8329.2,8578.0,5928.561484616704,6385.79257403167,6625.850015858868,6966.520012687095
23,164.0,52.3335839286542,36.858508121703,Орловская область,Озимая пшеница,Пар,2019-08-30,2020-07-23,4798.100031717735,4798.100031717735,73.35078828853582,0.4012704799518423,164.0,61.14,6114.0,7050.4,1.0,5918.261408353412,5811.811125115819,4161.900015858868,4739.600012687094
24,76.0,52.2713436463687,36.8917770294388,Орловская область,Озимая пшеница,Гречиха,2019-09-01,2020-08-07,4798.100031717735,4798.100031717735,35.55153016123143,0.3717855480454557,76.0,56.6,5660.0,8680.3,25.0,5931.7345839484115,6562.6165222637865,4575.375015858867,5396.360012687094
25,319.0,52.2554148337227,36.8866106329687,Орловская область,Озимая пшеница,Гречиха,2019-09-01,2020-08-08,4798.100031717735,4798.100031717735,21.58393303552337,0.3559211336624016,319.0,57.2,5720.0,8682.4,25.0,5931.751944070881,6563.583931435698,4575.900015858868,5397.200012687094
26,136.0,52.2849531908343,36.8754365937007,Орловская область,Озимая пшеница,Пар,2019-09-03,2020-08-07,4798.100031717735,4798.100031717735,16.9958369965936,0.3528985025273088,136.0,67.0,6700.0,8680.5,6455.0,5931.532765578566,6551.370003560365,6182.9250158588675,6682.440012687095
27,20.0,52.2870841053226,36.852994258018,Орловская область,Озимая пшеница,Пар,2019-09-03,2020-07-30,4798.100031717735,4798.100031717735,13.06858966012585,0.3440231739336874,20.0,68.7,6870.0,8085.2,6455.0,5926.611584194661,6277.132536875006,6034.100015858868,6444.320012687094
28,34.0,52.3407203710768,36.8030996211495,Орловская область,Озимая пшеница,Соя,2019-09-05,2020-08-09,4798.100031717735,4798.100031717735,30.88555564220776,0.3593675586695739,34.0,60.94,6094.0,8674.3,1.0,5931.685743057465,6559.894817624396,4567.875015858867,5389.1600126870935
29,174.0,52.3520292411717,36.9247270039237,Орловская область,Озимая пшеница,Пар,2019-08-26,2020-07-22,4798.100031717735,4798.100031717735,20.90529955051962,0.3499382919642511,174.0,69.7,6970.0,6902.3,13.0,5917.036726653567,5743.5645841612695,4127.875015858867,4682.760012687094
30,15.0,52.3449444137834,36.8755088113448,Орловская область,Озимая пшеница,Пар,2019-08-26,2020-07-28,4798.100031717735,4798.100031717735,18.04832774616593,0.3434635269611819,15.0,69.31,6931.0,7818.1,13.0,5924.607393395344,6165.447117321781,4356.825015858867,5049.0800126870945
31,72.0,52.3621627395658,36.8717758218978,Орловская область,Озимая пшеница,Пар,2019-08-26,2020-07-29,4798.100031717735,4798.100031717735,12.08338253047312,0.3288921878497534,72.0,63.09,6309.0,7973.5,13.0,5925.8920424581,6237.035396043275,4395.6750158588675,5111.240012687094
32,42.0,52.3659088483414,36.9408428100243,Орловская область,Озимая пшеница,Гречиха,2019-08-21,2020-07-31,4798.100031717735,4798.100031717735,9.200478185691207,0.3163036729104526,42.0,73.75,7375.0,8060.3,19.0,5926.609404322105,6277.011061424122,4418.875015858867,5147.160012687094
33,202.0,52.3593612597942,36.9545762717312,Орловская область,Озимая пшеница,Гречиха,2019-08-21,2020-07-31,4798.100031717735,4798.100031717735,62.46929642136547,0.389616517447508,202.0,71.61,7161.0,8061.3,19.0,5926.617671047091,6277.471732458365,4419.125015858867,5147.560012687095
34,231.0,52.3678605777128,36.9752825876964,Орловская область,Озимая пшеница,Гречиха,2019-08-21,2020-08-01,4798.100031717735,4798.100031717735,30.31534137741568,0.3613738727253175,231.0,61.4,6140.0,8185.0,19.0,5927.640264927804,6334.456739394329,4450.0500158588675,5197.0400126870945
35,55.56,52.3115984774559,37.1740905800634,Орловская область,Озимая пшеница,Яровой ячмень,2020-05-05,2020-08-30,4798.100031717735,4798.100031717735,10.8275271676671,0.3349200148638016,55.56,14.8,1480.0,0.0,7198.0,5859.749947757559,2551.2048856570236,4198.5500158588675,3358.8400126870943
36,323.62,52.3340335903361,37.2397198858877,Орловская область,Озимая пшеница,Гречиха,2019-08-27,2020-08-04,4798.100031717735,4798.100031717735,71.44646266361542,0.4049980482969699,323.62,62.0,6200.0,8282.1,143.0,5928.4390400525745,6378.969235394698,4505.325015858867,5260.680012687094
37,37.72,52.367709221811,37.1576562397745,Орловская область,Озимая пшеница,Соя,2019-09-11,2020-08-11,4798.100031717735,4798.100031717735,23.78455276380264,0.3612253166017401,37.72,66.6,6659.999999999999,8269.4,9237.0,5928.046280985105,6357.082366515479,6775.650015858868,7074.400012687094
38,493.73,52.3950068013786,37.2220240073654,Орловская область,Озимая пшеница,Озимая пшеница,2020-05-11,2020-09-04,4798.100031717735,4798.100031717735,17.00048777512397,0.3530341647747532,493.73,29.3,2930.0,0.0,101.0,5859.974526102853,2563.7197254243924,2424.3000158588675,1939.4400126870942
39,134.78,52.375965919249,37.1999076554898,Орловская область,Озимая пшеница,Озимая пшеница,2020-05-15,2020-09-05,4798.100031717735,4798.100031717735,13.81603355811315,0.3454753272281513,134.78,29.7,2970.0,0.0,120.0,5859.973924864504,2563.6862208512516,2429.0500158588675,1943.2400126870941
