"daily"
Date,Crop,TraDef,Tra,NDef,HeatRed,FrostRed,OxRed,Stage,TempSum,VernF,DaylF,IncFruit,RelDev,LT50,Yield,GroPhot,NetPhot,MaintR,GrowthR,LAI,RootDep,EffRootDep,TotBiomN,YieldNc,Protein,GPP,Mois_1,Mois_2,Mois_3,Mois_4,Mois_5,Mois_6,Mois_7,Mois_8,Mois_9,Mois_10,Mois_11,Mois_12,Mois_13,Mois_14,Mois_15,Mois_16,Mois_17,Mois_18,Mois_19,Mois_20,Precip,Irrig,Infilt,Surface,RunOff,SnowD,FrostD,ThawD,PASW_1,PASW_2,PASW_3,PASW_4,PASW_5,PASW_6,PASW_7,PASW_8,PASW_9,PASW_10,PASW_11,PASW_12,PASW_13,PASW_14,PASW_15,PASW_16,PASW_17,PASW_18,PASW_19,PASW_20,SurfTemp,STemp_1,STemp_2,STemp_3,STemp_4,STemp_5,Act_Ev,Act_ET,ET0,Kc,AtmCO2,Groundw,Recharge,NLeach,NO3_1,NO3_2,NO3_3,NO3_4,NO3_5,NO3_6,NO3_7,NO3_8,NO3_9,NO3_10,NO3_11,NO3_12,NO3_13,NO3_14,NO3_15,NO3_16,NO3_17,NO3_18,NO3_19,NO3_20,Carb,NH4_1,NH4_2,NH4_3,NH4_4,NH4_5,NH4_6,NH4_7,NH4_8,NH4_9,NH4_10,NH4_11,NH4_12,NH4_13,NH4_14,NH4_15,NH4_16,NH4_17,NH4_18,NH4_19,NH4_20,NO2_1,NO2_2,NO2_3,NO2_4,SOC_1,SOC_2,SOC_3,SOC_4,SOC_5,SOC_6,SOC-X-Y,SOC-X-Y,AOMf_1,AOMs_1,SMBf_1,SMBs_1,SOMf_1,SOMs_1,CBal_1,Nmin_1,Nmin_2,Nmin_3,NetNmin,Denit,N2O,SoilpH,NEP,NEE,Rh,Tmin,Tavg,Tmax,Wind,Globrad,Relhumid,Sunhours,NFert
[],[],[0;1],[mm],[0;1],[0;1],[0;1],[0;1],[1-6/7],[�Cd],[0;1],[0;1],[kg ha-1],[0;1],[°C],[kgDM ha-1],[kgCH2O ha-1],[kgCH2O ha-1],[kgCH2O ha-1],[kgCH2O ha-1],[m2 m-2],[layer#],[m],[kgN ha-1],[kgN ha-1],[kg kg-1],[kgC ha-1],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[mm],[mm],[mm],[mm],[mm],[mm],[m],[m],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[�C],[�C],[�C],[�C],[�C],[�C],[mm],[mm],[mm],[],[ppm],[m],[mm],[kgN ha-1],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgC kg-1],[kgC kg-1],[kgC kg-1],[kgC kg-1],[kgC kg-1],[kgC kg-1],[gC m-2],[gC m-2],[kgC m-3],[kgC m-3],[kgC m-3],[kgC m-3],[kgC m-3],[kgC m-3],[kgC m-3],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[],[kgC ha-1],[kgC ha-],[kgC ha-],[],[],[],[],[],[],[],[kgN ha-1]
2021-01-01,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,3.72,0,4.2,0,0,31.2,0.1,0,0.192,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1.4,9,9.9,9.9,9.9,9.9,0,0,0.1,0.8,416,19.28,0,0,0.005149,0.005129,0.005132,0.005131,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.00055,0.000553,0.000554,0.000553,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000906,0.000908,0.000907,0.000907,0.0659,0.0659,0.0659,0.0659,0.0238,0.0238,16601.4,42926.8,0,0,0.005,0.3061,25.7382,25.1421,-0.0018,0.088987,0.092147,0.092689,0.36633,0,0.00614,6.2,-7.3265,7.3265,7.3265,-3.92,-2.35,-0.63,4.57,1.29,97.38,0,0
2021-01-02,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,2.39,0,2.7,0,0,51.6,0.1,0,0.219,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-2.4,7.7,9.7,9.9,9.9,9.9,0,0,0.1,0.8,416,19.29,0,0,0.005277,0.005242,0.005251,0.00525,0.005001,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.00059,0.000602,0.000604,0.000603,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000834,0.000832,0.00083,0.00083,0.0659,0.0659,0.0659,0.0659,0.0238,0.0238,16600.9,42926.1,0,0,0.0049,0.3069,25.7359,25.1421,-0.0016,0.079041,0.090348,0.092459,0.35431,0,0.00541,6.2,-7.08563,7.08563,7.08563,-7.92,-2.8,0,3.1,1.4,97.62,0,0
2021-01-03,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0,0.1,0,0,52,0.1,0,0.22,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0,6.9,9.5,9.9,9.9,9.9,0,0,0.1,0.8,416,19.31,0,0,0.005386,0.005342,0.00536,0.005358,0.005002,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000625,0.000647,0.00065,0.00065,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000779,0.000771,0.000767,0.000767,0.0659,0.0659,0.0659,0.0659,0.0238,0.0238,16600.4,42925.4,0,0,0.0049,0.3076,25.7339,25.1421,-0.0014,0.0709,0.088167,0.09207,0.34352,0,0.00486,6.2,-6.8695,6.8695,6.8695,-8.24,-6.99,-3.52,2.57,1.37,99.69,0,0
2021-01-04,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.23,0,0.3,0,0,53.5,0.1,0,0.223,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-0.1,6.2,9.2,9.8,9.9,9.9,0,0,0.1,0.8,416,19.32,0,0,0.005481,0.005432,0.00546,0.005458,0.005003,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000655,0.000688,0.000693,0.000694,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000736,0.000722,0.000716,0.000715,0.0659,0.0659,0.0659,0.0659,0.0238,0.0238,16599.9,42924.8,0,0,0.0048,0.3082,25.732,25.1421,-0.0013,0.064095,0.085759,0.091528,0.33367,0,0.00442,6.2,-6.67176,6.67176,6.67176,-8.35,-4.64,-2.3,3.82,1.52,98,0,0
2021-01-05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.39,0,0.4,0,0,56.3,0.1,0,0.227,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-0.1,5.6,8.9,9.7,9.9,9.9,0,0,0.1,0.8,416,19.34,0,0,0.005564,0.005513,0.005552,0.00555,0.005005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000682,0.000726,0.000733,0.000734,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000702,0.000682,0.000674,0.000673,0.0659,0.0659,0.0659,0.0659,0.0238,0.0238,16599.4,42924.1,0,0,0.0048,0.3088,25.7304,25.1421,-0.0012,0.058498,0.083242,0.090846,0.32473,0,0.00404,6.2,-6.4924,6.4924,6.4924,-7.19,-5.52,-3.72,3.6,1.62,97.38,0,0
2021-01-06,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.3,0,1.5,0,0,67,0.1,0,0.242,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-0.1,5.1,8.7,9.7,9.9,9.9,0,0,0.1,0.8,416,19.36,0,0,0.005639,0.005586,0.005638,0.005636,0.005007,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000708,0.00076,0.000771,0.000772,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000676,0.00065,0.00064,0.000639,0.0659,0.0659,0.0659,0.0659,0.0238,0.0238,16599,42923.5,0,0,0.0047,0.3093,25.7288,25.1421,-0.0011,0.054442,0.080694,0.090043,0.31714,0,0.00372,6.2,-6.33998,6.33998,6.33998,-8.62,-5.77,-2.42,2.8,1.15,97.75,0,0
2021-01-07,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,3.72,0,3.9,0,0,88.8,0.1,0,0.281,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-0.1,4.7,8.4,9.6,9.8,9.9,0,0,0.1,0.8,416,19.37,0,0,0.005712,0.005649,0.005719,0.005717,0.005009,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000732,0.000792,0.000805,0.000807,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000654,0.000624,0.000614,0.000612,0.0659,0.0659,0.0659,0.0659,0.0238,0.0238,16598.6,42922.8,0,0,0.0047,0.3098,25.7273,25.1421,-0.0011,0.052685,0.078173,0.089139,0.31174,0,0.00346,6.2,-6.23114,6.23114,6.23114,-1.87,-0.22,0.37,3.2,2.29,96.81,0,0
2021-01-08,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,5.07,0,5.5,0,0,111.8,0.1,0,0.336,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0,4.4,8.1,9.4,9.8,9.8,0,0,0.2,0.8,416,19.39,0,0,0.005784,0.005701,0.005796,0.005795,0.005011,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000756,0.000821,0.000837,0.00084,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000636,0.000604,0.000593,0.000591,0.0659,0.0659,0.0659,0.0659,0.0238,0.0238,16598.1,42922.2,0,0,0.0047,0.3103,25.7258,25.1421,-0.001,0.051611,0.075719,0.088156,0.30696,0.00428,0.00324,6.2,-6.13484,6.13484,6.13484,-3.25,-0.81,0.5,5.51,0.95,96.56,0,0
2021-01-09,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.16,0,0.2,0,0,112,0.1,0,0.338,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0,4.1,7.9,9.3,9.8,9.8,0,0,0.1,0.8,416,19.4,0,0,0.005849,0.005748,0.005869,0.005869,0.005013,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000779,0.000847,0.000867,0.000871,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000621,0.000588,0.000576,0.000575,0.0659,0.0659,0.0659,0.0659,0.0238,0.0238,16597.7,42921.6,0,0,0.0046,0.3107,25.7244,25.1421,-0.001,0.047977,0.073355,0.08711,0.29961,0.00365,0.00306,6.2,-5.98704,5.98704,5.98704,-5.28,-3.99,-1.74,3.11,1.63,96.75,0,0
