"daily"
Date,Crop,TraDef,Tra,NDef,HeatRed,FrostRed,OxRed,Stage,TempSum,VernF,DaylF,IncFruit,RelDev,LT50,Yield,GroPhot,NetPhot,MaintR,GrowthR,LAI,RootDep,EffRootDep,TotBiomN,YieldNc,Protein,GPP,Mois_1,Mois_2,Mois_3,Mois_4,Mois_5,Mois_6,Mois_7,Mois_8,Mois_9,Mois_10,Mois_11,Mois_12,Mois_13,Mois_14,Mois_15,Mois_16,Mois_17,Mois_18,Mois_19,Mois_20,Precip,Irrig,Infilt,Surface,RunOff,SnowD,FrostD,ThawD,PASW_1,PASW_2,PASW_3,PASW_4,PASW_5,PASW_6,PASW_7,PASW_8,PASW_9,PASW_10,PASW_11,PASW_12,PASW_13,PASW_14,PASW_15,PASW_16,PASW_17,PASW_18,PASW_19,PASW_20,SurfTemp,STemp_1,STemp_2,STemp_3,STemp_4,STemp_5,Act_Ev,Act_ET,ET0,Kc,AtmCO2,Groundw,Recharge,NLeach,NO3_1,NO3_2,NO3_3,NO3_4,NO3_5,NO3_6,NO3_7,NO3_8,NO3_9,NO3_10,NO3_11,NO3_12,NO3_13,NO3_14,NO3_15,NO3_16,NO3_17,NO3_18,NO3_19,NO3_20,Carb,NH4_1,NH4_2,NH4_3,NH4_4,NH4_5,NH4_6,NH4_7,NH4_8,NH4_9,NH4_10,NH4_11,NH4_12,NH4_13,NH4_14,NH4_15,NH4_16,NH4_17,NH4_18,NH4_19,NH4_20,NO2_1,NO2_2,NO2_3,NO2_4,SOC_1,SOC_2,SOC_3,SOC_4,SOC_5,SOC_6,SOC-X-Y,SOC-X-Y,AOMf_1,AOMs_1,SMBf_1,SMBs_1,SOMf_1,SOMs_1,CBal_1,Nmin_1,Nmin_2,Nmin_3,NetNmin,Denit,N2O,SoilpH,NEP,NEE,Rh,Tmin,Tavg,Tmax,Wind,Globrad,Relhumid,Sunhours,NFert
[],[],[0;1],[mm],[0;1],[0;1],[0;1],[0;1],[1-6/7],[�Cd],[0;1],[0;1],[kg ha-1],[0;1],[°C],[kgDM ha-1],[kgCH2O ha-1],[kgCH2O ha-1],[kgCH2O ha-1],[kgCH2O ha-1],[m2 m-2],[layer#],[m],[kgN ha-1],[kgN ha-1],[kg kg-1],[kgC ha-1],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[mm],[mm],[mm],[mm],[mm],[mm],[m],[m],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[�C],[�C],[�C],[�C],[�C],[�C],[mm],[mm],[mm],[],[ppm],[m],[mm],[kgN ha-1],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgC kg-1],[kgC kg-1],[kgC kg-1],[kgC kg-1],[kgC kg-1],[kgC kg-1],[gC m-2],[gC m-2],[kgC m-3],[kgC m-3],[kgC m-3],[kgC m-3],[kgC m-3],[kgC m-3],[kgC m-3],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[],[kgC ha-1],[kgC ha-],[kgC ha-],[],[],[],[],[],[],[],[kgN ha-1]
2022-01-01,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0.324,0.323,0.32,0.317,0.311,0.305,0.301,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,16.9,0,16.9,0,0,0,0,0,0.218,0.174,0.173,0.17,0.167,0.161,0.155,0.151,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,8,9.6,9.9,9.9,9.9,9.9,0.2,0.2,0.3,0.8,419,19.28,0,0,0.003891,0.005203,0.005487,0.005458,0.005276,0.005175,0.005075,0.005012,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000544,0.000545,0.000545,0.000545,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000894,0.000902,0.000902,0.000903,0.0463,0.0463,0.0463,0.0463,0.0238,0.0238,15285.9,41172.9,0,0,0.0046,0.2823,23.724,23.1748,-0.0018,0.088227,0.085864,0.085913,0.34544,0,0.00619,6.2,-7.00113,7.00113,7.00113,5.9,7.1,8.3,4.57,1,97.38,0,0
2022-01-02,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321,0.323,0.323,0.323,0.323,0.322,0.319,0.315,0.309,0.303,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.8,0,1.8,0,0,0,0,0,0.171,0.173,0.173,0.173,0.173,0.172,0.169,0.165,0.159,0.153,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,10.8,9.9,9.9,9.9,9.9,9.9,0.3,0.3,0.4,0.8,419,19.29,0,0,0.003301,0.005032,0.005555,0.005633,0.005438,0.005364,0.00532,0.005244,0.005145,0.005049,0.005005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000586,0.000587,0.000588,0.000587,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000815,0.000821,0.000821,0.000822,0.0463,0.0463,0.0463,0.0463,0.0238,0.0238,15285.4,41172.2,0,0,0.0045,0.2831,23.7215,23.1748,-0.0017,0.085107,0.085666,0.085916,0.34249,0,0.00567,6.2,-6.94097,6.94097,6.94097,9.3,12.05,14.8,3.1,0.4,97.62,0,0
2022-01-03,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466,0.326,0.325,0.325,0.326,0.326,0.326,0.325,0.324,0.321,0.318,0.313,0.306,0.301,0.3,0.3,0.3,0.3,0.3,0.3,24.6,0,24.5,0.1,0,0,0,0,0.316,0.176,0.175,0.175,0.176,0.176,0.176,0.175,0.174,0.171,0.168,0.163,0.156,0.151,0.15,0.15,0.15,0.15,0.15,0.15,9.4,9.8,9.9,9.9,9.9,9.9,0,0,0,0.8,419,19.31,0,0,0.002939,0.004221,0.005471,0.005743,0.005572,0.005453,0.005428,0.005414,0.005393,0.005352,0.005284,0.0052,0.005099,0.005022,0.005001,0.005,0.005,0.005,0.005,0.005,0,0.000623,0.000626,0.000627,0.000627,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000724,0.000754,0.000754,0.000754,0.0463,0.0463,0.0463,0.0463,0.0238,0.0238,15284.9,41171.4,0,0,0.0045,0.2841,23.7185,23.1748,-0.0021,0.103536,0.085833,0.086117,0.36153,0.00957,0.00515,6.2,-7.32637,7.32637,7.32637,5.9,8.8,11.7,2.57,2.8,99.69,0,0
2022-01-04,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.325,0.323,0.321,0.317,0.311,0.305,0.301,0.3,0.3,0,0,0.1,0,0,0,0,0,0.217,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.175,0.173,0.171,0.167,0.161,0.155,0.151,0.15,0.15,9.2,9.7,9.9,9.9,9.9,9.9,0,0,0,0.8,419,19.32,1.607,0.011,0.002333,0.0038,0.005163,0.005731,0.005656,0.005505,0.005454,0.005443,0.00544,0.005435,0.005423,0.00541,0.005385,0.005334,0.005262,0.005173,0.005073,0.005011,0.005,0.004736,0,0.000658,0.000663,0.000663,0.000663,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000669,0.000699,0.000698,0.000699,0.0463,0.0463,0.0463,0.0463,0.0238,0.0238,15284.3,41170.7,0,0,0.0044,0.285,23.7159,23.1748,-0.0018,0.08892,0.085566,0.086038,0.34656,0,0.00475,6.2,-7.02244,7.02244,7.02244,4.7,9.05,13.4,3.82,3.9,98,0,0
2022-01-05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321,0.322,0.322,0.323,0.324,0.324,0.324,0.324,0.325,0.325,0.325,0.325,0.325,0.324,0.324,0.322,0.32,0.316,0.31,0.304,0,0,0,0,0,0,0,0,0.171,0.172,0.172,0.173,0.174,0.174,0.174,0.174,0.175,0.175,0.175,0.175,0.175,0.174,0.174,0.172,0.17,0.166,0.16,0.154,6.4,9,9.7,9.9,9.9,9.9,0.1,0.1,0.1,0.8,419,19.34,5.615,0.473,0.00211,0.003646,0.004996,0.005672,0.005635,0.005492,0.005428,0.005412,0.005412,0.005413,0.005411,0.005411,0.005411,0.005402,0.005387,0.005368,0.005328,0.005254,0.005157,0.003966,0,0.00069,0.000696,0.000697,0.000697,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000631,0.000655,0.000654,0.000654,0.0462,0.0462,0.0462,0.0462,0.0238,0.0238,15283.8,41170,0,0,0.0043,0.2858,23.7136,23.1748,-0.0016,0.077541,0.083983,0.085373,0.33249,0,0.00436,6.2,-6.73678,6.73678,6.73678,3.2,5.15,7.1,3.6,2.4,97.38,0,0
2022-01-06,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313,0.316,0.317,0.318,0.32,0.32,0.321,0.321,0.322,0.322,0.322,0.323,0.323,0.323,0.323,0.323,0.323,0.322,0.32,0.317,0,0,0,0,0,0,0,0,0.163,0.166,0.167,0.168,0.17,0.17,0.171,0.171,0.172,0.172,0.172,0.173,0.173,0.173,0.173,0.173,0.173,0.172,0.17,0.167,3,7.8,9.4,9.8,9.9,9.9,0,0,0,0.8,419,19.36,5.073,0.787,0.002137,0.003616,0.004938,0.005637,0.005575,0.005446,0.005382,0.005366,0.005368,0.005372,0.005374,0.005378,0.005383,0.005382,0.00538,0.005381,0.005377,0.005362,0.005324,0.003845,0,0.000716,0.000727,0.000729,0.000729,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000604,0.00062,0.000618,0.000618,0.0462,0.0462,0.0462,0.0462,0.0238,0.0238,15283.4,41169.4,0,0,0.0043,0.2864,23.7116,23.1748,-0.0013,0.066602,0.080765,0.084138,0.3164,0,0.00398,6.2,-6.40997,6.40997,6.40997,-1.2,1.6,4.4,2.8,4.2,97.75,0,0
2022-01-07,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309,0.312,0.314,0.315,0.317,0.318,0.318,0.319,0.32,0.32,0.32,0.321,0.321,0.321,0.322,0.322,0.322,0.322,0.322,0.321,0,0,0,0,0,0,0,0,0.159,0.162,0.164,0.165,0.167,0.168,0.168,0.169,0.17,0.17,0.17,0.171,0.171,0.171,0.172,0.172,0.172,0.172,0.172,0.171,6,7.6,9.2,9.7,9.9,9.9,0.1,0.1,0.1,0.8,419,19.37,3.843,0.679,0.002191,0.003634,0.004934,0.005637,0.005529,0.005405,0.005342,0.005326,0.005329,0.005335,0.005339,0.005345,0.005351,0.005354,0.005355,0.005359,0.005363,0.005362,0.005331,0.004056,0,0.000741,0.000755,0.000758,0.000758,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000583,0.000593,0.00059,0.00059,0.0462,0.0462,0.0462,0.0462,0.0238,0.0238,15282.9,41168.8,0,0,0.0042,0.2871,23.7098,23.1748,-0.0013,0.064267,0.078243,0.082956,0.30974,0,0.00375,6.2,-6.27427,6.27427,6.27427,4.8,7.3,9.8,3.2,3.2,96.81,0,0
2022-01-08,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.311,0.312,0.313,0.315,0.316,0.316,0.317,0.318,0.318,0.319,0.319,0.319,0.32,0.32,0.32,0.321,0.321,0.321,0.321,0.6,0,0.6,0,0,0,0,0,0.16,0.161,0.162,0.163,0.165,0.166,0.166,0.167,0.168,0.168,0.169,0.169,0.169,0.17,0.17,0.17,0.171,0.171,0.171,0.171,6.9,7.6,9,9.6,9.8,9.9,0.1,0.1,0.1,0.8,419,19.39,2.946,0.539,0.002235,0.003672,0.004958,0.005661,0.005499,0.005375,0.005312,0.005295,0.005298,0.005304,0.00531,0.005316,0.005324,0.005327,0.00533,0.005335,0.005341,0.005343,0.005306,0.004266,0,0.000764,0.000781,0.000785,0.000786,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000564,0.000572,0.000568,0.000567,0.0462,0.0462,0.0462,0.0462,0.0238,0.0238,15282.5,41168.2,0,0,0.0042,0.2877,23.7079,23.1748,-0.0013,0.06435,0.076561,0.081933,0.30658,0,0.00358,6.2,-6.20946,6.20946,6.20946,5.7,7.25,8.8,5.51,3.6,96.56,0,0
2022-01-09,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.311,0.311,0.312,0.313,0.314,0.315,0.315,0.316,0.317,0.317,0.318,0.318,0.318,0.319,0.319,0.319,0.32,0.32,0.32,0.8,0,0.8,0,0,0,0,0,0.16,0.161,0.161,0.162,0.163,0.164,0.165,0.165,0.166,0.167,0.167,0.168,0.168,0.168,0.169,0.169,0.169,0.17,0.17,0.17,9.2,8.1,8.9,9.5,9.8,9.8,0.2,0.2,0.3,0.8,419,19.4,2.332,0.433,0.002269,0.003716,0.004996,0.005699,0.005483,0.005355,0.005289,0.00527,0.005272,0.005279,0.005285,0.005292,0.0053,0.005304,0.005307,0.005313,0.00532,0.005323,0.005282,0.004433,0,0.000788,0.000806,0.000811,0.000812,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000548,0.000555,0.000551,0.00055,0.0462,0.0462,0.0462,0.0462,0.0238,0.0238,15282,41167.5,0,0,0.0041,0.2884,23.7059,23.1748,-0.0014,0.068285,0.075998,0.081161,0.30873,0,0.0035,6.2,-6.252,6.252,6.252,9.9,10.15,10.4,3.11,1.6,96.75,0,0
