de-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
01.01.2019;-9.81;-14.35;-6.04;4.27;2.15;0.74;97.0
02.01.2019;-5.84;-7.6;-4.16;5.95;2.24;4.15;97.5
03.01.2019;-5.27;-8.65;-4.06;3.48;2.2;3.72;98.0
04.01.2019;-7.91;-9.95;-4.66;1.65;2.51;0.51;98.81
05.01.2019;-10.0;-14.15;-6.16;1.55;2.44;0.81;98.94
06.01.2019;-11.36;-14.13;-8.51;1.54;2.79;0.4;98.19
07.01.2019;-14.9;-18.23;-10.92;1.3;3.52;0.26;97.75
08.01.2019;-19.1;-21.77;-14.89;1.8;3.29;0.21;99.0
09.01.2019;-12.48;-19.24;-8.52;2.98;3.44;1.19;98.81
10.01.2019;-10.78;-12.43;-9.22;2.27;2.89;3.57;97.25
11.01.2019;-12.8;-17.43;-9.39;1.36;3.66;1.35;99.19
12.01.2019;-16.38;-20.41;-13.57;3.52;3.72;0.73;99.12
13.01.2019;-8.82;-14.55;-5.74;3.55;2.86;0.97;98.56
14.01.2019;-5.52;-6.89;-3.81;6.23;2.48;1.99;97.31
15.01.2019;-4.91;-10.2;-2.08;5.13;3.11;1.13;96.81
16.01.2019;-11.13;-12.28;-8.83;2.66;2.53;0.49;99.19
17.01.2019;-7.36;-11.55;-4.92;6.45;3.03;0.19;95.88
18.01.2019;-3.96;-5.27;-2.45;6.14;2.96;0.76;97.56
19.01.2019;-6.97;-10.01;-2.79;4.36;4.43;0.08;95.75
20.01.2019;-10.01;-13.85;-7.38;4.93;3.65;0.17;98.06
21.01.2019;-10.63;-13.13;-8.78;4.3;3.7;0.91;98.25
22.01.2019;-17.17;-20.48;-13.09;1.82;5.52;0.09;99.0
23.01.2019;-18.7;-22.53;-14.92;2.94;4.89;1.24;98.5
24.01.2019;-15.61;-20.35;-12.65;4.45;5.0;3.66;97.69
25.01.2019;-18.75;-21.15;-13.64;3.2;5.59;0.07;98.75
26.01.2019;-12.85;-19.07;-9.71;6.68;3.08;4.79;97.19
27.01.2019;-9.31;-10.81;-7.65;4.29;4.13;5.97;97.06
28.01.2019;-7.84;-10.61;-4.09;2.28;2.9;1.05;97.94
29.01.2019;-6.68;-8.24;-4.4;3.8;4.15;0.27;95.69
30.01.2019;-2.81;-6.5;-1.05;5.09;3.06;5.8;96.94
31.01.2019;-3.91;-6.55;-1.81;4.8;3.54;0.74;97.5
01.02.2019;-5.83;-7.98;-3.31;3.12;1.25;0.32;97.62
02.02.2019;-6.19;-7.45;-3.81;2.53;1.88;0.32;98.06
03.02.2019;-1.26;-4.87;0.49;4.38;2.08;0.57;97.69
04.02.2019;0.42;0.29;0.63;5.11;1.8;0.39;97.25
05.02.2019;-2.62;-6.61;0.37;2.93;2.25;0.08;94.69
06.02.2019;-3.02;-6.92;-0.65;2.12;2.03;10.74;96.62
07.02.2019;-6.94;-10.99;-0.99;3.05;3.87;0.86;95.94
08.02.2019;-8.15;-11.39;-3.01;2.7;7.3;0.09;98.69
09.02.2019;-7.3;-9.83;-4.24;2.41;5.01;0.27;96.06
10.02.2019;-7.17;-9.88;-4.06;3.59;4.7;0.38;97.19
11.02.2019;-4.92;-8.85;-1.73;4.73;5.08;0.26;96.75
12.02.2019;-1.13;-2.94;0.39;5.72;5.1;6.95;96.75
13.02.2019;-3.78;-11.86;-0.52;5.6;5.06;9.5;96.06
14.02.2019;-10.44;-13.77;-4.06;2.05;7.54;0.14;98.0
15.02.2019;-3.54;-11.0;-0.77;6.43;5.62;0.21;97.31
16.02.2019;-0.99;-2.99;0.34;5.2;6.96;0.24;94.88
17.02.2019;-2.95;-6.93;0.77;7.52;5.74;0.09;95.12
18.02.2019;-6.33;-16.09;-2.74;6.38;10.17;0.01;90.5
19.02.2019;-9.03;-16.38;-2.43;4.03;9.74;0.01;95.06
20.02.2019;-3.87;-8.64;-0.78;6.37;5.75;0.5;96.56
21.02.2019;-4.66;-8.42;-0.58;7.22;8.04;2.01;93.06
22.02.2019;-9.49;-10.77;-8.1;6.16;4.28;1.08;92.62
23.02.2019;-12.13;-18.07;-7.87;3.6;11.29;0.13;91.88
24.02.2019;-6.32;-9.27;-3.27;4.2;7.47;0.76;97.0
25.02.2019;-1.06;-4.13;0.49;5.68;8.0;2.53;95.94
26.02.2019;-0.95;-2.94;0.43;5.13;7.6;1.76;96.56
27.02.2019;-2.96;-5.39;-0.7;3.38;4.73;0.29;94.88
28.02.2019;-2.62;-5.3;-0.05;4.19;7.4;6.25;97.0
01.03.2019;-1.52;-3.75;0.33;3.05;10.26;3.54;97.19
02.03.2019;-8.89;-17.93;-3.16;3.47;10.33;1.09;92.56
03.03.2019;-8.94;-17.92;-3.61;6.27;10.68;0.77;95.62
04.03.2019;-1.45;-4.65;0.55;4.7;9.19;3.85;96.12
05.03.2019;0.35;-0.02;0.71;5.43;8.74;5.3;97.25
06.03.2019;-3.83;-14.72;0.28;5.45;5.5;1.59;90.94
07.03.2019;-9.92;-17.88;-3.82;3.68;12.85;0.0;90.81
08.03.2019;-1.7;-7.42;0.74;6.46;10.13;1.19;95.06
09.03.2019;-0.69;-3.81;0.63;4.27;13.43;0.18;97.62
10.03.2019;-0.69;-3.88;0.59;3.61;11.57;4.47;96.81
11.03.2019;-0.58;-3.17;0.53;3.14;7.16;7.56;96.94
12.03.2019;-2.64;-7.31;-0.01;4.05;8.61;0.7;91.88
13.03.2019;-5.83;-9.5;-1.81;3.03;12.16;0.48;95.62
14.03.2019;-3.2;-8.3;0.33;3.01;13.67;0.3;95.38
15.03.2019;-2.63;-5.43;-0.03;4.53;12.81;1.07;93.62
16.03.2019;-2.46;-4.81;0.01;3.62;12.51;0.56;95.0
17.03.2019;-1.59;-3.3;0.29;3.04;12.08;1.88;97.56
18.03.2019;-1.4;-4.43;0.37;3.77;11.62;0.2;98.19
19.03.2019;0.46;-0.91;0.94;4.28;6.1;0.76;95.62
20.03.2019;-0.43;-4.81;0.8;1.67;9.87;1.32;96.75
21.03.2019;-2.13;-5.86;0.32;2.37;7.96;0.5;97.12
22.03.2019;-1.81;-6.54;0.76;4.81;13.15;6.36;96.0
23.03.2019;-1.47;-4.25;0.62;4.64;14.4;0.68;95.88
24.03.2019;-2.96;-7.3;0.42;2.4;12.92;1.14;96.56
25.03.2019;-1.5;-5.99;1.06;2.5;17.95;0.07;91.44
26.03.2019;-0.08;-2.7;1.09;2.41;16.16;1.83;94.94
27.03.2019;-2.75;-7.36;0.61;1.65;16.64;0.11;92.62
28.03.2019;-4.37;-9.66;0.58;2.59;17.03;0.08;90.19
29.03.2019;-0.75;-5.28;1.69;2.12;14.52;2.44;96.62
30.03.2019;1.32;-0.45;4.0;2.19;15.45;0.33;96.19
31.03.2019;3.39;-1.1;10.37;3.25;16.72;0.11;91.94
01.04.2019;2.76;-2.17;7.76;3.99;16.63;0.06;80.5
02.04.2019;0.79;-3.11;6.09;4.2;17.97;0.01;77.06
03.04.2019;1.81;-3.47;8.33;3.5;19.38;0.0;68.56
04.04.2019;2.26;-2.12;7.43;2.96;18.31;0.01;64.12
05.04.2019;1.89;-0.95;5.25;1.66;8.67;0.52;78.12
06.04.2019;1.6;-1.98;6.37;1.83;9.34;0.22;80.44
07.04.2019;4.12;-2.11;11.0;1.88;17.71;0.0;72.0
08.04.2019;7.55;1.6;14.99;5.2;9.53;0.17;71.06
09.04.2019;8.77;2.49;15.28;3.55;16.2;0.13;83.25
10.04.2019;10.74;5.58;15.63;2.34;10.72;2.44;86.81
11.04.2019;10.55;5.63;17.87;2.35;8.05;1.88;87.0
12.04.2019;5.3;1.54;7.88;4.8;5.55;6.68;93.06
13.04.2019;1.94;0.64;4.15;4.65;3.76;7.08;92.06
14.04.2019;1.37;0.12;3.65;3.96;5.22;7.21;89.62
15.04.2019;5.17;0.44;10.24;4.96;12.25;1.61;84.62
16.04.2019;6.61;-0.45;13.58;4.81;22.92;0.0;67.0
17.04.2019;4.51;-2.42;10.81;4.27;21.45;0.0;68.25
18.04.2019;5.13;-2.64;10.48;0.76;15.84;0.02;56.38
19.04.2019;6.68;0.55;11.87;1.95;16.01;0.01;58.06
20.04.2019;7.54;1.66;13.51;1.15;19.96;0.0;58.0
21.04.2019;8.33;0.62;14.99;1.75;20.9;0.0;54.75
22.04.2019;10.01;1.67;17.44;1.76;19.81;0.01;58.38
23.04.2019;11.7;4.69;18.32;1.87;19.67;0.63;62.19
24.04.2019;13.02;5.89;19.9;1.95;21.86;0.0;71.19
25.04.2019;15.48;8.11;22.33;1.57;22.22;0.0;65.38
26.04.2019;16.04;10.72;21.76;1.09;15.47;0.36;68.75
27.04.2019;15.46;9.89;22.19;2.23;19.94;0.01;67.0
28.04.2019;10.57;2.3;16.38;3.78;17.93;1.43;74.38
29.04.2019;5.44;-0.7;11.9;3.3;25.3;0.0;63.75
30.04.2019;6.73;-1.27;13.69;2.27;23.43;0.0;63.88
01.05.2019;6.37;-0.69;12.75;4.38;23.16;5.49;72.44
02.05.2019;7.94;4.97;11.69;2.84;8.77;3.57;89.12
03.05.2019;10.23;4.43;16.11;3.4;20.41;0.34;77.38
04.05.2019;9.87;5.4;12.94;1.3;10.23;5.23;91.31
05.05.2019;14.37;7.69;20.42;3.05;20.84;0.5;78.5
06.05.2019;15.37;8.05;21.73;2.32;21.53;0.01;71.12
07.05.2019;16.45;9.28;22.26;2.29;20.52;0.08;71.31
08.05.2019;16.83;10.5;22.24;2.59;12.97;4.41;83.44
09.05.2019;16.69;11.92;22.21;2.84;17.44;8.95;86.0
10.05.2019;15.33;10.44;17.87;2.55;12.54;14.51;84.25
11.05.2019;13.38;8.98;17.98;4.05;18.49;3.28;78.81
12.05.2019;14.55;8.55;18.89;1.06;18.18;0.1;76.06
13.05.2019;16.05;8.88;21.06;2.88;19.11;2.21;78.81
14.05.2019;15.77;13.47;18.61;2.28;17.45;15.24;94.81
15.05.2019;16.91;13.03;21.04;1.09;10.53;6.55;85.31
16.05.2019;16.15;12.14;20.4;2.65;20.46;0.17;81.25
17.05.2019;13.5;7.47;18.97;2.95;28.35;0.0;64.88
18.05.2019;14.19;5.99;20.71;1.55;28.18;0.0;62.69
19.05.2019;15.62;8.3;21.88;1.89;28.72;0.0;69.56
20.05.2019;15.83;7.64;22.01;1.23;28.07;0.01;70.38
21.05.2019;16.83;9.93;22.8;1.98;25.8;0.01;71.75
22.05.2019;16.39;9.79;22.16;2.13;18.37;2.57;78.25
23.05.2019;17.81;12.36;22.23;1.97;22.85;4.19;81.81
24.05.2019;15.98;10.83;19.38;2.39;14.04;2.9;83.75
25.05.2019;14.47;9.69;19.85;2.88;14.58;5.91;86.31
26.05.2019;15.51;11.69;18.73;1.79;15.41;2.6;86.69
27.05.2019;15.45;8.54;20.4;2.88;25.36;0.01;75.69
28.05.2019;19.57;11.5;25.53;2.54;25.62;0.18;76.5
29.05.2019;20.69;15.9;25.57;3.09;25.51;0.01;76.25
30.05.2019;20.83;15.87;25.39;2.52;23.31;0.62;77.62
31.05.2019;20.94;15.22;26.79;2.07;22.69;1.62;82.06
01.06.2019;18.15;12.91;21.8;1.52;20.67;4.85;84.0
02.06.2019;17.78;11.67;22.07;1.28;22.6;0.75;79.12
03.06.2019;18.38;13.05;23.35;2.57;27.49;0.05;75.75
04.06.2019;16.12;10.89;21.62;2.74;29.22;0.0;68.31
05.06.2019;17.05;9.19;23.14;2.12;30.14;0.0;64.94
06.06.2019;19.25;10.39;24.97;1.77;30.48;0.0;63.06
