de-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
01.01.2021;-2.35;-3.92;-0.63;4.57;1.29;3.72;97.38
02.01.2021;-2.8;-7.92;-0.0;3.1;1.4;2.39;97.62
03.01.2021;-6.99;-8.24;-3.52;2.57;1.37;0.1;99.69
04.01.2021;-4.64;-8.35;-2.3;3.82;1.52;0.23;98.0
05.01.2021;-5.52;-7.19;-3.72;3.6;1.62;0.39;97.38
06.01.2021;-5.77;-8.62;-2.42;2.8;1.15;1.3;97.75
07.01.2021;-0.22;-1.87;0.37;3.2;2.29;3.72;96.81
08.01.2021;-0.81;-3.25;0.5;5.51;0.95;5.07;96.56
09.01.2021;-3.99;-5.28;-1.74;3.11;1.63;0.16;96.75
10.01.2021;-6.59;-12.17;-3.85;3.43;1.46;0.43;96.25
11.01.2021;-11.1;-13.07;-7.05;1.59;1.71;0.28;96.5
12.01.2021;-9.55;-11.88;-5.93;1.64;2.16;0.19;97.0
13.01.2021;-8.27;-9.84;-3.87;6.41;0.89;12.51;97.19
14.01.2021;-12.54;-16.08;-4.2;2.85;3.01;0.24;97.62
15.01.2021;-10.49;-14.21;-6.97;1.66;1.97;0.21;99.12
16.01.2021;-15.85;-19.67;-11.11;4.76;3.83;0.96;97.12
17.01.2021;-21.09;-24.21;-16.69;2.2;5.48;0.07;96.81
18.01.2021;-18.85;-20.56;-15.95;2.08;4.08;0.66;95.19
19.01.2021;-18.7;-20.18;-15.51;1.38;4.15;0.35;95.56
20.01.2021;-21.17;-24.26;-16.23;1.74;5.69;0.07;98.62
21.01.2021;-16.04;-24.86;-4.94;5.27;3.18;0.82;97.19
22.01.2021;-2.56;-4.72;-1.17;4.41;2.26;0.34;98.25
23.01.2021;-0.13;-2.27;0.59;4.27;2.01;0.56;97.94
24.01.2021;0.66;-0.02;0.98;5.02;2.34;1.59;96.44
25.01.2021;-0.87;-2.33;0.22;6.09;1.6;0.59;97.56
26.01.2021;-0.25;-1.96;0.84;6.84;2.49;5.95;94.88
27.01.2021;-0.72;-3.16;0.45;2.43;2.1;7.14;96.81
28.01.2021;0.27;0.06;0.55;5.34;1.74;4.36;97.12
29.01.2021;-2.62;-4.52;-0.11;7.22;2.07;2.91;94.31
30.01.2021;-5.92;-10.58;0.01;4.25;4.14;5.37;97.25
31.01.2021;-3.66;-11.01;0.48;5.8;2.52;5.68;96.06
01.02.2021;-8.8;-13.35;-5.72;3.62;1.73;9.62;98.56
02.02.2021;-6.68;-8.77;-4.69;4.84;4.94;1.5;97.0
03.02.2021;-5.06;-9.16;-0.95;2.69;3.12;0.55;97.38
04.02.2021;-1.22;-3.83;0.24;3.96;3.19;3.84;97.12
05.02.2021;-8.14;-13.6;0.36;6.42;4.44;1.08;93.88
06.02.2021;-13.44;-16.77;-9.68;4.61;4.14;0.34;94.06
07.02.2021;-18.64;-23.18;-14.56;3.51;8.96;0.07;92.69
08.02.2021;-18.04;-23.86;-11.8;2.85;7.71;0.06;94.38
09.02.2021;-14.51;-15.48;-13.77;6.41;6.58;13.43;95.12
10.02.2021;-11.46;-15.13;-7.99;2.98;7.25;6.55;98.25
11.02.2021;-10.13;-13.42;-6.56;3.19;6.69;3.72;98.31
12.02.2021;-2.4;-13.74;0.58;5.32;5.43;10.06;97.62
13.02.2021;-15.11;-17.06;-12.53;5.78;5.74;0.51;90.31
